user_id,content_id,ResolvedScore
U10162,N11020,4
U10162,N20036,5
U10162,N306,2
U10162,N31958,2
U10162,N33096,2
U10162,N36779,-3
U10162,N42767,2
U10162,N55743,2
U10162,N619,5
U10278,N11930,2
U10278,N12320,5
U10278,N13270,-3
U10278,N17166,5
U10278,N19611,-4
U10278,N20036,5
U10278,N23692,-4
U10278,N31958,2
U10278,N36779,-3
U10278,N40299,5
U10278,N41946,4
U11534,N11930,2
U11534,N13556,4
U11534,N14637,3
U11534,N1878,4
U11534,N19685,5
U11534,N20036,3
U11534,N20187,-4
U11534,N23535,5
U11534,N30290,-3
U11534,N3168,4
U11534,N31958,-3
U11534,N32089,2
U11534,N35216,3
U11534,N36779,2
U11534,N36786,5
U11534,N36940,-3
U11534,N38556,-3
U11534,N40716,-4
U11534,N41946,-3
U11534,N46976,-3
U11534,N48487,5
U11534,N49505,2
U11534,N53242,2
U11534,N57327,2
U11534,N5940,2
U11534,N60939,3
U11534,N61388,4
U11534,N63411,4
U11534,N6638,2
U11534,N6916,-4
U11660,N13233,-3
U11660,N13332,3
U11660,N13556,4
U11660,N14514,3
U11660,N16344,-4
U11660,N19685,5
U11660,N20036,5
U11660,N22690,-4
U11660,N2324,-3
U11660,N26421,-3
U11660,N2960,4
U11660,N30290,5
U11660,N31958,5
U11660,N32005,-4
U11660,N35693,2
U11660,N36779,3
U11660,N36786,4
U11660,N36940,5
U11660,N39896,4
U11660,N42431,-3
U11660,N42767,5
U11660,N46917,-3
U11660,N48487,-3
U11660,N50004,-3
U11660,N50055,5
U11660,N53242,4
U11660,N53754,5
U11660,N5940,-3
U11660,N63421,-4
U11660,N6916,-4
U12188,N11930,-3
U12188,N18870,-4
U12188,N19990,3
U12188,N26485,4
U12188,N29862,5
U12188,N31958,3
U12188,N35216,3
U12188,N41651,-4
U12188,N48740,-3
U12188,N5940,3
U12188,N60724,-3
U12188,N6074,3
U12188,N6638,-4
U1350,N13556,2
U1350,N19685,-3
U1350,N20036,2
U1350,N2960,-3
U1350,N30290,2
U1350,N31958,5
U1350,N36779,5
U1350,N36786,2
U1350,N36940,2
U1350,N42767,2
U1350,N46917,3
U1350,N48487,2
U1350,N50055,5
U1350,N53242,2
U1350,N58504,-4
U1350,N5940,-3
U1350,N63421,-4
U1350,N6916,-4
U1459,N20036,5
U1459,N35012,2
U1459,N36779,5
U1459,N42767,4
U1459,N43671,-4
U16351,N18285,-4
U16351,N19435,4
U16351,N19990,-4
U16351,N20036,4
U16351,N30290,3
U16351,N306,4
U16351,N31958,5
U16351,N3259,-4
U16351,N36779,-3
U16351,N58401,-4
U17026,N10359,5
U17026,N12844,5
U17026,N16855,3
U17026,N29862,2
U17026,N34661,-3
U17026,N41588,-4
U17026,N41976,3
U17026,N43142,-4
U17026,N48742,2
U17026,N53572,4
U17026,N53901,-4
U17026,N54300,2
U17026,N54536,-4
U17026,N5917,2
U17026,N60895,5
U17026,N63515,4
U17026,N7428,-3
U17026,N8331,-4
U17026,N8448,-4
U17026,N90,4
U1727,N13408,2
U1727,N13995,2
U1727,N15857,4
U1727,N17863,5
U1727,N19990,-4
U1727,N20036,5
U1727,N28323,-4
U1727,N30290,4
U1727,N30765,4
U1727,N31958,-3
U1727,N34920,4
U1727,N36779,2
U1727,N3797,2
U1727,N42844,-4
U1727,N46976,4
U1727,N49285,-4
U1727,N50775,-3
U1727,N53283,5
U1727,N53572,3
U1727,N55743,-3
U1727,N58090,-4
U1727,N58715,5
U1727,N5940,3
U1727,N62058,-3
U1727,N62396,3
U1727,N64536,4
U17370,N15670,-4
U17370,N18275,-4
U17370,N19494,-4
U17370,N21789,-4
U17370,N24578,5
U17370,N24579,3
U17370,N25158,5
U17370,N29862,2
U17370,N38310,5
U17370,N43436,5
U17370,N46749,3
U17370,N496,2
U17370,N61811,2
U17370,N63411,5
U17370,N8143,-4
U19519,N28257,2
U19519,N29862,-3
U19519,N31958,4
U19519,N46976,3
U19519,N47383,3
U19519,N48740,-3
U19519,N50775,5
U19519,N53572,-3
U19519,N54536,-4
U19519,N54827,2
U19519,N58098,3
U19519,N6400,-4
U19519,N64273,-4
U21602,N13556,-3
U21602,N17165,2
U21602,N19474,-4
U21602,N19685,5
U21602,N20036,-3
U21602,N29523,3
U21602,N30290,3
U21602,N31958,-3
U21602,N32089,5
U21602,N36779,-3
U21602,N36940,3
U21602,N38166,5
U21602,N3854,-4
U21602,N39627,2
U21602,N41073,2
U21602,N42767,5
U21602,N46868,2
U21602,N46917,2
U21602,N57401,5
U21602,N5940,4
U21602,N60939,2
U21602,N62481,-3
U22123,N10359,-3
U22123,N18285,-4
U22123,N28139,3
U22123,N29862,2
U22123,N42470,4
U22123,N53572,4
U22123,N58090,-4
U22123,N5978,-4
U22123,N6074,5
U22123,N61388,4
U22123,N6400,-4
U22123,N9803,5
U22790,N19990,-4
U22790,N20036,2
U22790,N21749,2
U22790,N27951,-3
U22790,N30290,4
U22790,N31958,4
U22790,N36779,-3
U22790,N40448,3
U22790,N46846,-3
U22790,N48742,2
U22790,N51705,-3
U22790,N55911,4
U23646,N13374,-3
U23646,N19990,-4
U23646,N20036,3
U23646,N28058,-4
U23646,N30290,-3
U23646,N31958,5
U23646,N36779,5
U23646,N37091,2
U23646,N42726,4
U23646,N42844,-4
U23646,N45729,2
U23646,N4607,-4
U23646,N49285,-4
U23646,N50775,3
U23646,N53572,2
U23646,N55189,4
U23646,N55743,5
U23646,N56778,4
U23646,N5940,2
U23646,N59704,2
U23646,N62365,2
U23646,N8258,2
U23759,N10560,-4
U23759,N11930,-3
U23759,N13408,-3
U23759,N16349,4
U23759,N17878,-3
U23759,N20036,-3
U23759,N20078,-4
U23759,N23239,-3
U23759,N31958,4
U23759,N32004,5
U23759,N32483,2
U23759,N36779,2
U23759,N36796,-3
U23759,N36940,-3
U23759,N37509,-4
U23759,N38298,3
U23759,N41946,2
U23759,N42844,-4
U23759,N4593,-4
U23759,N46357,4
U23759,N46976,5
U23759,N49285,-4
U23759,N50019,-3
U23759,N5201,4
U23759,N53283,3
U23759,N58098,5
U23759,N5978,-4
U23759,N6194,-4
U23759,N64631,3
U23759,N6638,3
U23759,N6916,-4
U23759,N8258,3
U2382,N20036,3
U2382,N23535,-3
U2382,N27737,2
U2382,N29490,-4
U2382,N2960,3
U2382,N30290,-3
U2382,N3264,-4
U2382,N36786,4
U2382,N41934,2
U2382,N46917,2
U2382,N47020,-3
U2382,N51253,-4
U2382,N53346,-4
U2382,N5940,4
U2382,N61233,2
U2382,N63421,-4
U2382,N6916,-4
U2382,N7530,4
U24192,N11930,2
U24192,N12349,-4
U24192,N13408,-3
U24192,N18531,-4
U24192,N19611,-4
U24192,N19990,-4
U24192,N20477,3
U24192,N28128,-3
U24192,N29862,-3
U24192,N30290,5
U24192,N31958,3
U24192,N32207,2
U24192,N36779,-3
U24192,N37352,5
U24192,N42844,-4
U24192,N45289,-4
U24192,N47383,4
U24192,N48740,4
U24192,N49285,-4
U24192,N50775,5
U24192,N53283,2
U24192,N53572,4
U24192,N53907,-3
U24192,N57560,-4
U24192,N58098,5
U24192,N5940,4
U24192,N60724,5
U24192,N6074,2
U24192,N62365,4
U24192,N6400,-4
U24192,N6916,-4
U24192,N9797,5
U25748,N1539,-4
U25748,N16344,-4
U25748,N22310,3
U25748,N37352,2
U25748,N39118,-4
U25748,N39792,-4
U25748,N43187,3
U25748,N49364,-4
U25748,N6638,2
U25748,N7993,3
U25748,N9855,2
U26889,N11291,-3
U26889,N12732,5
U26889,N13057,5
U26889,N13137,-3
U26889,N16043,3
U26889,N17070,5
U26889,N20745,3
U26889,N27907,2
U26889,N30290,2
U26889,N31958,3
U26889,N356,3
U26889,N36779,-3
U26889,N37304,5
U26889,N37352,2
U26889,N41899,-4
U26889,N49285,-4
U26889,N50775,-3
U26889,N51299,3
U26889,N53572,4
U26889,N57551,-4
U26889,N62365,-3
U26889,N6484,-4
U26889,N7889,5
U29142,N11930,2
U29142,N12446,-4
U29142,N13408,-3
U29142,N1952,-4
U29142,N19611,-4
U29142,N19990,-4
U29142,N20036,4
U29142,N27057,5
U29142,N29862,5
U29142,N30290,3
U29142,N31958,4
U29142,N34130,2
U29142,N36779,-3
U29142,N42844,-4
U29142,N46749,4
U29142,N46976,2
U29142,N48740,-3
U29142,N49285,-4
U29142,N53283,-3
U29142,N53572,5
U29142,N56969,-3
U29142,N58098,-3
U29142,N5940,5
U29142,N62365,2
U29142,N6400,-4
U29142,N6638,2
U29142,N6916,-4
U29142,N6950,-4
U29142,N7556,2
U29142,N7618,3
U30041,N15676,3
U30041,N18094,3
U30041,N19990,-4
U30041,N21019,5
U30041,N22816,5
U30041,N29862,3
U30041,N30974,5
U30041,N31958,-3
U30041,N34130,5
U30041,N4020,-4
U30041,N42458,-4
U30041,N42844,-4
U30041,N48740,-3
U30041,N49285,-4
U30041,N51706,-3
U30041,N53572,2
U30041,N56447,2
U30041,N56778,2
U30041,N58098,5
U30041,N5940,4
U30041,N62365,4
U30041,N6400,-4
U30041,N6916,-4
U30041,N871,2
U30113,N14749,3
U30113,N19990,-4
U30113,N20036,5
U30113,N22018,5
U30113,N30290,3
U30113,N31958,3
U30113,N36779,2
U31320,N11784,3
U31320,N11930,5
U31320,N12320,3
U31320,N13408,4
U31320,N13556,-3
U31320,N20036,5
U31320,N20187,-4
U31320,N23094,5
U31320,N28963,-4
U31320,N30290,5
U31320,N3168,2
U31320,N31958,5
U31320,N35216,-3
U31320,N36779,-3
U31320,N36786,3
U31320,N36940,4
U31320,N41946,4
U31320,N42844,-4
U31320,N46976,3
U31320,N48487,-3
U31320,N49285,-4
U31320,N53242,4
U31320,N53615,-3
U31320,N57327,3
U31320,N58391,4
U31320,N5940,-3
U31320,N6638,-3
U31320,N6916,-4
U32173,N19990,-4
U32173,N20575,-4
U32173,N23614,-4
U32173,N29862,-3
U32173,N306,5
U32173,N31958,4
U32173,N34130,3
U32173,N44796,-3
U32173,N48740,5
U32173,N49285,-4
U32173,N50775,-3
U32173,N51240,4
U32173,N5252,5
U32173,N53572,3
U32173,N57967,-3
U32173,N6218,2
U32173,N62365,3
U32173,N6400,-4
U32173,N65201,-4
U32446,N19495,5
U32446,N29862,2
U32446,N38256,2
U32446,N4486,2
U32446,N58601,-4
U33043,N11930,4
U33043,N12446,-4
U33043,N13556,4
U33043,N14637,3
U33043,N15719,4
U33043,N19685,2
U33043,N20036,4
U33043,N27057,3
U33043,N29490,-4
U33043,N2960,4
U33043,N30290,3
U33043,N31958,3
U33043,N36779,4
U33043,N36786,-3
U33043,N36931,-4
U33043,N36940,-3
U33043,N37204,-4
U33043,N41934,-3
U33043,N42767,3
U33043,N46917,5
U33043,N47195,-4
U33043,N48487,-3
U33043,N49820,5
U33043,N50055,4
U33043,N57327,4
U33043,N5940,-3
U33043,N60939,5
U33043,N60975,3
U33043,N61233,2
U33043,N61811,5
U33043,N63421,-4
U33043,N63913,-4
U33043,N6916,-4
U33043,N8306,-3
U33043,N9284,4
U34437,N10779,-3
U34437,N11930,4
U34437,N13408,2
U34437,N19990,-4
U34437,N30290,3
U34437,N31141,-4
U34437,N31958,-3
U34437,N34190,3
U34437,N3491,4
U34437,N36779,3
U34437,N37352,3
U34437,N42844,-4
U34437,N4331,3
U34437,N47383,4
U34437,N49285,-4
U34437,N5051,-4
U34437,N50775,-3
U34437,N5290,4
U34437,N53572,3
U34437,N58098,2
U34437,N5940,5
U34437,N59761,-4
U34437,N60186,4
U34437,N61811,-3
U34437,N62365,4
U34437,N63415,-3
U34437,N65145,2
U34437,N6916,-4
U34437,N7419,-4
U34437,N7993,-3
U3633,N11930,-3
U3633,N1952,-4
U3633,N19611,-4
U3633,N27057,3
U3633,N29862,2
U3633,N45057,-4
U3633,N46749,3
U3633,N47186,-4
U3633,N47671,2
U3633,N48578,2
U3633,N53572,4
U3633,N56207,-4
U3633,N57908,-4
U3633,N60675,5
U3633,N6074,4
U3633,N62365,3
U3633,N64319,2
U3633,N6655,-4
U3633,N6916,-4
U3633,N6950,-4
U3633,N7179,5
U3633,N7618,5
U37382,N11930,5
U37382,N13887,2
U37382,N29862,5
U37382,N3168,-3
U37382,N46749,2
U37382,N53572,5
U37382,N60215,-4
U37382,N60675,2
U37382,N7618,2
U38464,N13408,4
U38464,N15676,3
U38464,N19990,-4
U38464,N30290,4
U38464,N31958,4
U38464,N36779,3
U38464,N37352,-3
U38464,N40509,5
U38464,N47383,-3
U38464,N49285,-4
U38464,N50775,-3
U38464,N53572,5
U38464,N5940,5
U38464,N62365,5
U38993,N11930,3
U38993,N13887,4
U38993,N29862,-3
U38993,N3168,5
U38993,N35184,-4
U38993,N43709,3
U38993,N44013,2
U38993,N46749,5
U38993,N51238,2
U38993,N53572,3
U38993,N57738,-4
U38993,N60215,-4
U38993,N60615,4
U38993,N60675,3
U38993,N7618,2
U39551,N13887,3
U39551,N13912,-4
U39551,N21202,5
U39551,N23539,5
U39551,N29862,3
U39551,N30737,-4
U39551,N38256,5
U39551,N4285,-4
U39551,N50328,-4
U39551,N51305,5
U39551,N53572,4
U39551,N55846,3
U39551,N60215,-4
U39551,N63779,3
U39551,N64467,3
U39551,N7172,2
U40490,N13636,-3
U40490,N14761,5
U40490,N19685,2
U40490,N20036,5
U40490,N29358,-4
U40490,N29976,-4
U40490,N30290,3
U40490,N31958,3
U40490,N36779,-3
U40490,N36940,2
U40490,N37509,-4
U40490,N39737,4
U40490,N42767,4
U40490,N46917,-3
U40490,N47406,5
U40490,N53422,-4
U40490,N5940,-3
U40490,N60939,-3
U40490,N61196,-4
U40490,N848,-4
U40619,N21892,5
U40619,N22997,-3
U40619,N28311,2
U40619,N29177,3
U40619,N29862,5
U40619,N35022,3
U40619,N36530,-4
U40619,N39376,4
U40619,N40716,-4
U40619,N42528,4
U40619,N52555,3
U40619,N53572,-3
U40619,N54522,-3
U40619,N54571,3
U40619,N62590,2
U40619,N6400,-4
U40619,N64640,2
U40619,N8073,2
U43685,N19620,-4
U43685,N19990,-4
U43685,N29862,2
U43685,N31958,3
U43685,N33096,4
U43685,N34130,3
U43685,N34287,3
U43685,N40716,-4
U43685,N42844,-4
U43685,N44559,5
U43685,N46392,-3
U43685,N48740,3
U43685,N49285,-4
U43685,N51692,3
U43685,N53572,-3
U43685,N55743,-3
U43685,N55951,4
U43685,N56486,4
U43685,N5940,4
U43685,N62365,-3
U43685,N6400,-4
U43685,N6916,-4
U43685,N7422,2
U442,N10078,-3
U442,N12625,-4
U442,N19611,-4
U442,N29862,4
U442,N306,2
U442,N30665,-4
U442,N31958,5
U442,N34130,3
U442,N42137,-4
U442,N42358,-3
U442,N48740,3
U442,N49285,-4
U442,N53572,-3
U442,N6074,5
U442,N62365,2
U442,N6400,-4
U442,N8549,3
U44258,N11005,2
U44258,N20036,-3
U44258,N23571,3
U44258,N26026,4
U44258,N30290,5
U44258,N30867,2
U44258,N31958,-3
U44258,N33337,5
U44258,N3500,5
U44258,N35560,-4
U44258,N36779,3
U44258,N37909,5
U44258,N42767,5
U44258,N44007,-3
U44258,N46917,2
U44258,N47847,-4
U44258,N53242,-3
U44258,N53895,-4
U44258,N55911,-3
U44258,N56889,4
U44258,N57318,-3
U44258,N5940,3
U44258,N62058,5
U44258,N64395,-3
U44258,N6616,2
U44888,N15297,-4
U44888,N18870,5
U44888,N29862,4
U44888,N32004,3
U44888,N37509,-4
U44888,N39979,3
U44888,N42596,-4
U44888,N53572,-3
U44888,N6074,4
U44888,N6400,-4
U44888,N8148,2
U44888,N90,5
U45077,N11177,5
U45077,N12367,-4
U45077,N15655,-3
U45077,N21215,5
U45077,N23119,4
U45077,N27167,5
U45077,N306,5
U45077,N32939,-4
U45077,N34130,5
U45077,N35671,-3
U45077,N37352,3
U45077,N37942,5
U45077,N39867,-3
U45077,N4020,-4
U45077,N41526,3
U45077,N44702,2
U45077,N46392,3
U45077,N47558,4
U45077,N49897,-4
U45077,N51112,-4
U45077,N53572,2
U45077,N58057,2
U45077,N59943,3
U45077,N6023,4
U45077,N6156,-4
U45077,N62285,5
U45077,N64273,-4
U45077,N6464,-4
U45077,N65007,5
U45077,N7327,3
U45077,N7328,4
U45077,N7714,-4
U45530,N11020,-3
U45530,N1120,-4
U45530,N13408,2
U45530,N13556,-3
U45530,N20036,5
U45530,N20187,-4
U45530,N2218,-3
U45530,N22185,3
U45530,N30290,-3
U45530,N31958,4
U45530,N35216,2
U45530,N36779,4
U45530,N36786,2
U45530,N36940,-3
U45530,N37264,5
U45530,N40640,3
U45530,N40716,-4
U45530,N42844,-4
U45530,N46976,4
U45530,N50032,-4
U45530,N53242,5
U45530,N55189,-3
U45530,N56447,2
U45530,N56630,2
U45530,N5940,2
U45530,N6638,4
U46466,N11930,2
U46466,N13408,5
U46466,N15892,3
U46466,N19990,-4
U46466,N20036,4
U46466,N20187,-4
U46466,N2783,-3
U46466,N30290,3
U46466,N31958,4
U46466,N33397,5
U46466,N36779,3
U46466,N36786,4
U46466,N36940,3
U46466,N40299,5
U46466,N41946,2
U46466,N42553,-4
U46466,N42844,-4
U46466,N461,3
U46466,N46976,4
U46466,N53283,5
U46466,N53754,4
U46466,N54496,5
U46466,N55189,5
U46466,N56240,-4
U46466,N58098,4
U46466,N58612,2
U46466,N5940,-3
U46466,N6233,2
U46466,N64395,2
U46466,N6511,5
U46466,N6638,-3
U46466,N6916,-4
U48510,N19990,-4
U48510,N20036,-3
U48510,N30290,5
U48510,N31958,5
U48510,N35216,5
U48510,N36779,-3
U48510,N5940,5
U4854,N11512,5
U4854,N18870,-3
U4854,N20036,5
U4854,N30290,3
U4854,N31958,3
U4854,N36779,5
U4854,N49285,-4
U4854,N50775,4
U4854,N53572,5
U4854,N54005,-4
U4854,N62365,-3
U4854,N7642,2
U48544,N19990,-4
U48544,N20036,-3
U48544,N26026,4
U48544,N29862,3
U48544,N30290,2
U48544,N31248,-3
U48544,N31958,-3
U48544,N34130,3
U48544,N35710,-3
U48544,N36779,3
U48544,N42620,-3
U48544,N42844,-4
U48544,N44251,-3
U48544,N46976,-3
U48544,N48615,5
U48544,N48740,3
U48544,N49285,-4
U48544,N50775,4
U48544,N53283,4
U48544,N53572,-3
U48544,N58098,4
U48544,N58264,-3
U48544,N5940,-3
U48544,N619,5
U48544,N62365,3
U48544,N6400,-4
U48544,N6916,-4
U48544,N8587,4
U494,N20036,4
U494,N31025,-4
U494,N36779,4
U494,N41456,2
U494,N46622,5
U494,N46811,3
U50657,N13408,-3
U50657,N19990,-4
U50657,N20036,3
U50657,N20187,-4
U50657,N22644,3
U50657,N25885,-3
U50657,N30290,2
U50657,N31958,2
U50657,N33969,2
U50657,N36779,5
U50657,N36786,3
U50657,N36940,5
U50657,N39627,-3
U50657,N42526,2
U50657,N42620,-3
U50657,N42844,-4
U50657,N46392,2
U50657,N46976,-3
U50657,N53283,-3
U50657,N57011,-4
U50657,N58098,5
U50657,N5940,2
U50657,N61704,-4
U50657,N6638,3
U50657,N6916,-4
U50789,N29862,2
U50789,N31958,3
U50789,N48740,2
U50789,N50775,2
U50789,N53572,4
U50789,N6400,-4
U5144,N1171,2
U5144,N11930,-3
U5144,N13153,3
U5144,N13408,5
U5144,N13556,-3
U5144,N20036,-3
U5144,N20187,-4
U5144,N30290,4
